cancer,edin,p50,is_tumor
KIRP,0.01,0.0270,True
LAML,0.03,0.0667,True
LGG,0.02,0.0370,True
LIHC,0.05,0.0625,True
LIHC,0.02,0.0909,False
LUAD,0.02,0.0370,True
LUAD,0.03,0.0667,False
LUSC,0.02,0.0303,True
MESO,0.02,0.0333,True
OV,0.03,0.0213,True
PAAD,0.03,0.0456,True
PCPG,0.03,0.0417,True
PRAD,0.01,0.0345,True
READ,0.02,0.0521,True
SARC,0.03,0.0323,True
SKCM,0.01,0.0270,True
STAD,0.02,0.0270,True
TGCT,0.01,0.0182,True
THCA,0.02,0.0400,True
UCEC,0.02,0.0370,True
UCEC,0.03,0.0323,False
UCS,0.04,0.0312,True
ACC,0.06,0.0351,True
BLCA,0.08,0.0357,True
BLCA,0.11,0.0448,False
BRCA,0.1,0.0385,True
BRCA,0.05,0.0312,False
CESC,0.08,0.0357,True
CHOL,0.06,0.0357,True
CHOL,0.44,0.0733,False
COAD,0.08,0.0476,True
COAD,0.02,0.0909,False
DLBC,0.04,0.0254,True
ESCA,0.11,0.0294,True
GBM,0.1,0.0444,True
HNSC,0.08,0.0357,True
KICH,0.06,0.0541,True
KICH,0.04,0.0412,False
KIRC,0.08,0.0400,True
KIRC,0.1,0.0455,False
KIRP,0.08,0.0455,True
KIRP,0.12,0.0456,False
LAML,0.07,0.0667,True
LGG,0.07,0.0385,True
LIHC,0.15,0.0714,True
LIHC,0.1,0.1176,False
LUAD,0.1,0.0417,True
LUAD,0.08,0.0588,False
LUSC,0.08,0.0370,True
LUSC,0.02,0.0370,False
MESO,0.08,0.0482,True
OV,0.12,0.0357,True
PAAD,0.08,0.0488,True
PCPG,0.09,0.0500,True
PRAD,0.07,0.0400,True
PRAD,0.04,0.0367,False
READ,0.09,0.0476,True
SARC,0.13,0.0351,True
SKCM,0.05,0.0326,True
STAD,0.11,0.0312,True
TGCT,0.07,0.0256,True
THCA,0.07,0.0378,True
THCA,0.05,0.0412,False
THYM,0.07,0.0244,True
UCEC,0.1,0.0500,True
UCEC,0.03,0.0333,False
UCS,0.05,0.0236,True
UVM,0.06,0.0495,True
ACC,0.13,0.0501,True
BLCA,0.16,0.0435,True
BLCA,0.05,0.0417,False
BRCA,0.11,0.0385,True
BRCA,0.04,0.0324,False
CESC,0.08,0.0345,True
CESC,0.33,0.0800,False
CHOL,0.19,0.0476,True
CHOL,0.33,0.0909,False
COAD,0.07,0.0435,True
COAD,0.1,0.0670,False
DLBC,0.06,0.0303,True
ESCA,0.14,0.0301,True
GBM,0.1,0.0409,True
HNSC,0.09,0.0370,True
HNSC,0.02,0.0345,False
KICH,0.17,0.0646,True
KIRC,0.1,0.0400,True
KIRC,0.08,0.0357,False
KIRP,0.08,0.0417,True
KIRP,0.03,0.0384,False
LAML,0.04,0.0646,True
LGG,0.1,0.0357,True
LIHC,0.2,0.0667,True
LIHC,0.1,0.1000,False
LUAD,0.15,0.0473,True
LUAD,0.03,0.0488,False
LUSC,0.12,0.0385,True
LUSC,0.04,0.0333,False
MESO,0.13,0.0455,True
OV,0.15,0.0306,True
PAAD,0.12,0.0541,True
PCPG,0.12,0.0455,True
PRAD,0.1,0.0417,True
PRAD,0.06,0.0333,False
READ,0.12,0.0556,True
SARC,0.15,0.0345,True
SARC,0.5,0.0652,False
SKCM,0.06,0.0317,True
STAD,0.1,0.0327,True
STAD,0.06,0.0158,False
TGCT,0.13,0.0244,True
THCA,0.11,0.0431,True
THCA,0.09,0.0435,False
THYM,0.1,0.0280,True
UCEC,0.14,0.0556,True
UCEC,0.17,0.0400,False
UCS,0.04,0.0291,True
UVM,0.09,0.0588,True
SARC,0.0,0.0588,True
THCA,0.0,0.1071,True
ACC,0.41,0.0769,True
BLCA,0.35,0.0564,True
BLCA,0.32,0.0571,False
BRCA,0.42,0.0629,True
BRCA,0.29,0.0500,False
CESC,0.41,0.0556,True
CESC,0.67,0.0601,False
CHOL,0.28,0.0588,True
CHOL,0.22,0.0749,False
COAD,0.3,0.0625,True
COAD,0.22,0.0667,False
DLBC,0.4,0.0556,True
ESCA,0.55,0.0642,True
ESCA,0.27,0.0417,False
GBM,0.53,0.0741,True
GBM,0.8,0.0938,False
HNSC,0.44,0.0625,True
HNSC,0.34,0.0556,False
KICH,0.31,0.0742,True
KICH,0.33,0.0667,False
KIRC,0.31,0.0588,True
KIRC,0.28,0.0536,False
KIRP,0.33,0.0667,True
KIRP,0.25,0.0455,False
LAML,0.28,0.0714,True
LGG,0.44,0.0625,True
LIHC,0.29,0.0741,True
LIHC,0.18,0.0909,False
LUAD,0.37,0.0600,True
LUAD,0.17,0.0628,False
LUSC,0.39,0.0556,True
LUSC,0.18,0.0393,False
MESO,0.37,0.0616,True
OV,0.62,0.0756,True
PAAD,0.42,0.0714,True
PAAD,0.5,0.0667,False
PCPG,0.38,0.0645,True
PCPG,0.33,0.0541,False
PRAD,0.36,0.0588,True
PRAD,0.38,0.0588,False
READ,0.3,0.0714,True
READ,0.3,0.0774,False
SARC,0.53,0.0667,True
SARC,0.5,0.0465,False
SKCM,0.39,0.0571,True
STAD,0.47,0.0645,True
STAD,0.28,0.0561,False
TGCT,0.31,0.0459,True
THCA,0.43,0.0625,True
THCA,0.38,0.0625,False
THYM,0.43,0.0534,True
UCEC,0.37,0.0833,True
UCEC,0.49,0.0667,False
UCS,0.39,0.0488,True
UVM,0.3,0.0556,True
ACC,0.04,0.0667,True
BLCA,0.04,0.0400,True
BRCA,0.03,0.0370,True
BRCA,0.05,0.0340,False
CESC,0.02,0.0345,True
COAD,0.05,0.0541,True
COAD,0.02,0.0634,False
ESCA,0.04,0.0230,True
GBM,0.06,0.0455,True
HNSC,0.02,0.0345,True
KICH,0.12,0.0714,False
KIRC,0.03,0.0400,True
KIRC,0.06,0.0476,False
KIRP,0.06,0.0455,True
KIRP,0.03,0.0420,False
LAML,0.04,0.0667,True
LGG,0.05,0.0417,True
LIHC,0.03,0.0541,True
LUAD,0.06,0.0500,True
LUAD,0.03,0.0364,False
LUSC,0.02,0.0348,True
LUSC,0.02,0.0357,False
MESO,0.05,0.0476,True
OV,0.04,0.0270,True
PAAD,0.03,0.0420,True
PCPG,0.08,0.0588,True
PRAD,0.04,0.0417,True
PRAD,0.06,0.0417,False
READ,0.04,0.0584,True
SARC,0.06,0.0385,True
SKCM,0.03,0.0345,True
STAD,0.03,0.0282,True
STAD,0.09,0.0526,False
THCA,0.07,0.0455,True
THCA,0.03,0.0500,False
THYM,0.03,0.0303,True
UCEC,0.05,0.0526,True
UCEC,0.06,0.0500,False
UCS,0.02,0.0256,True
UVM,0.05,0.0769,True
ACC,0.03,0.0445,True
BLCA,0.06,0.0435,True
BLCA,0.05,0.0412,False
BRCA,0.06,0.0435,True
BRCA,0.01,0.0310,False
CESC,0.04,0.0370,True
CHOL,0.03,0.0516,True
CHOL,0.11,0.1000,False
COAD,0.04,0.0478,True
COAD,0.02,0.0463,False
DLBC,0.02,0.0312,True
ESCA,0.14,0.0345,True
GBM,0.07,0.0401,True
HNSC,0.05,0.0445,True
HNSC,0.05,0.0769,False
KICH,0.06,0.0885,True
KICH,0.08,0.0667,False
KIRC,0.06,0.0455,True
KIRC,0.06,0.0455,False
KIRP,0.09,0.0556,True
KIRP,0.03,0.0351,False
LAML,0.03,0.0455,True
LGG,0.05,0.0476,True
LIHC,0.06,0.0769,True
LIHC,0.08,0.1269,False
LUAD,0.08,0.0500,True
LUAD,0.03,0.0500,False
LUSC,0.06,0.0385,True
MESO,0.12,0.0588,True
OV,0.09,0.0303,True
PAAD,0.05,0.0588,True
PAAD,0.25,0.0769,False
PCPG,0.03,0.0476,True
PCPG,0.33,0.1818,False
PRAD,0.04,0.0435,True
PRAD,0.04,0.0563,False
READ,0.05,0.0769,True
SARC,0.06,0.0400,True
SKCM,0.05,0.0385,True
STAD,0.07,0.0278,True
STAD,0.03,0.0294,False
TGCT,0.02,0.0238,True
THCA,0.04,0.0435,True
THCA,0.02,0.0364,False
THYM,0.04,0.0294,True
UCEC,0.08,0.0507,True
UCEC,0.03,0.0476,False
UCS,0.04,0.0270,True
UVM,0.01,0.0400,True
ACC,0.08,0.0820,True
BLCA,0.11,0.0500,True
BLCA,0.21,0.0769,False
BRCA,0.09,0.0476,True
BRCA,0.05,0.0476,False
CESC,0.09,0.0417,True
CHOL,0.08,0.0611,True
COAD,0.05,0.0500,True
COAD,0.05,0.0556,False
DLBC,0.04,0.0364,True
ESCA,0.13,0.0363,True
ESCA,0.18,0.0735,False
GBM,0.09,0.0378,True
GBM,0.2,0.0522,False
HNSC,0.09,0.0469,True
HNSC,0.07,0.0541,False
KICH,0.05,0.0801,True
KICH,0.12,0.0526,False
KIRC,0.1,0.0526,True
KIRC,0.06,0.0435,False
KIRP,0.09,0.0556,True
KIRP,0.16,0.0530,False
LAML,0.04,0.0556,True
LGG,0.09,0.0500,True
LIHC,0.09,0.0742,True
LIHC,0.1,0.0909,False
LUAD,0.11,0.0588,True
LUAD,0.07,0.0711,False
LUSC,0.1,0.0455,True
LUSC,0.06,0.0575,False
MESO,0.2,0.0769,True
OV,0.17,0.0370,True
PAAD,0.07,0.0588,True
PAAD,0.25,0.0769,False
PCPG,0.07,0.0670,True
PCPG,0.33,0.0714,False
PRAD,0.09,0.0476,True
PRAD,0.08,0.0500,False
READ,0.07,0.0769,True
SARC,0.14,0.0476,True
SKCM,0.08,0.0373,True
STAD,0.17,0.0435,True
STAD,0.12,0.0291,False
TGCT,0.07,0.0333,True
THCA,0.08,0.0488,True
THCA,0.03,0.0396,False
THYM,0.03,0.0278,True
UCEC,0.12,0.0588,True
UCEC,0.09,0.0447,False
UCS,0.07,0.0385,True
UVM,0.08,0.0506,True
BLCA,0.02,0.0625,True
BLCA,0.05,0.1176,False
BRCA,0.02,0.0476,True
BRCA,0.01,0.0435,False
CESC,0.01,0.0476,True
COAD,0.0,0.0500,True
DLBC,0.02,0.0566,True
ESCA,0.01,0.0189,True
GBM,0.01,0.0345,True
HNSC,0.02,0.0526,True
KIRC,0.03,0.0646,True
KIRC,0.03,0.0917,False
KIRP,0.0,0.1000,True
LGG,0.02,0.0476,True
LIHC,0.02,0.0667,True
LUAD,0.02,0.0588,True
LUAD,0.03,0.0955,False
LUSC,0.01,0.0385,True
LUSC,0.04,0.0778,False
MESO,0.08,0.0714,True
OV,0.02,0.0219,True
PAAD,0.02,0.0834,True
PCPG,0.01,0.0526,True
PRAD,0.02,0.0476,True
SARC,0.03,0.0417,True
SKCM,0.02,0.0388,True
STAD,0.02,0.0260,True
STAD,0.03,0.0513,False
TGCT,0.01,0.0268,True
THCA,0.01,0.0466,True
THYM,0.02,0.0322,True
UCEC,0.02,0.0476,True
UCS,0.05,0.0345,True
UVM,0.02,0.1032,True
ACC,0.03,0.0513,True
BLCA,0.05,0.0526,True
BLCA,0.05,0.1667,False
BRCA,0.04,0.0455,True
BRCA,0.06,0.0596,False
CESC,0.04,0.0435,True
COAD,0.05,0.0714,True
COAD,0.02,0.0909,False
DLBC,0.02,0.0369,True
ESCA,0.1,0.0303,True
ESCA,0.09,0.0349,False
GBM,0.07,0.0385,True
HNSC,0.04,0.0526,True
KICH,0.02,0.2000,True
KICH,0.04,0.0769,False
KIRC,0.06,0.0556,True
KIRC,0.03,0.0435,False
KIRP,0.04,0.0588,True
KIRP,0.09,0.0557,False
LAML,0.05,0.0513,True
LGG,0.08,0.0588,True
LIHC,0.02,0.0625,True
LUAD,0.05,0.0526,True
LUAD,0.03,0.0467,False
LUSC,0.06,0.0556,True
LUSC,0.08,0.0646,False
MESO,0.06,0.0691,True
OV,0.08,0.0303,True
PAAD,0.05,0.0714,True
PAAD,0.25,0.0714,False
PCPG,0.04,0.0714,True
PRAD,0.03,0.0513,True
PRAD,0.04,0.0417,False
READ,0.07,0.0909,True
READ,0.2,0.0885,False
SARC,0.06,0.0500,True
SKCM,0.03,0.0417,True
STAD,0.08,0.0312,True
TGCT,0.03,0.0323,True
THCA,0.06,0.0526,True
THCA,0.03,0.0526,False
THYM,0.03,0.0318,True
UCEC,0.07,0.0625,True
UCS,0.04,0.0370,True
UVM,0.04,0.0670,True
ACC,0.05,0.0679,True
BLCA,0.06,0.0526,True
BLCA,0.05,0.0556,False
BRCA,0.04,0.0500,True
BRCA,0.05,0.0691,False
CESC,0.05,0.0556,True
CHOL,0.03,0.0526,True
COAD,0.04,0.0909,True
COAD,0.05,0.0885,False
DLBC,0.04,0.0526,True
ESCA,0.12,0.0315,True
ESCA,0.09,0.0417,False
GBM,0.1,0.0435,True
HNSC,0.06,0.0526,True
HNSC,0.02,0.1250,False
KICH,0.02,0.2000,True
KICH,0.04,0.0455,False
KIRC,0.03,0.0455,True
KIRC,0.08,0.0541,False
KIRP,0.02,0.0476,True
KIRP,0.06,0.0588,False
LAML,0.03,0.0588,True
LGG,0.04,0.0500,True
LIHC,0.03,0.0769,True
LUAD,0.05,0.0606,True
LUSC,0.06,0.0556,True
LUSC,0.02,0.0600,False
MESO,0.05,0.0834,True
OV,0.07,0.0274,True
PAAD,0.03,0.0588,True
PCPG,0.03,0.0625,True
PRAD,0.03,0.0528,True
PRAD,0.02,0.0455,False
READ,0.03,0.0635,True
SARC,0.05,0.0455,True
SKCM,0.03,0.0345,True
STAD,0.07,0.0361,True
STAD,0.06,0.1333,False
TGCT,0.03,0.0357,True
THCA,0.03,0.0606,True
THCA,0.02,0.1333,False
UCEC,0.08,0.0667,True
UCEC,0.09,0.0588,False
UCS,0.07,0.0364,True
UVM,0.04,0.0651,True
ACC,0.01,0.0500,True
BLCA,0.04,0.0556,True
BLCA,0.05,0.0526,False
BRCA,0.04,0.0588,True
BRCA,0.04,0.0714,False
CESC,0.06,0.0526,True
COAD,0.02,0.0646,True
DLBC,0.02,0.0324,True
ESCA,0.33,0.0476,True
ESCA,0.09,0.0469,False
GBM,0.26,0.0564,True
HNSC,0.04,0.0667,True
HNSC,0.02,0.0540,False
KICH,0.05,0.0909,True
KICH,0.04,0.0625,False
KIRC,0.04,0.0588,True
KIRC,0.03,0.0557,False
KIRP,0.04,0.0820,True
KIRP,0.06,0.1169,False
LAML,0.03,0.0476,True
LGG,0.05,0.0691,True
LIHC,0.03,0.0714,True
LIHC,0.02,0.1000,False
LUAD,0.04,0.0691,True
LUAD,0.02,0.0635,False
LUSC,0.04,0.0500,True
MESO,0.06,0.0588,True
OV,0.33,0.0526,True
PAAD,0.03,0.0833,True
PCPG,0.01,0.0885,True
PRAD,0.04,0.0625,True
PRAD,0.02,0.0472,False
READ,0.04,0.0769,True
READ,0.1,0.0769,False
SARC,0.08,0.0625,True
SKCM,0.03,0.0476,True
STAD,0.25,0.0526,True
STAD,0.22,0.0588,False
TGCT,0.03,0.0370,True
THCA,0.04,0.0667,True
THCA,0.02,0.0953,False
THYM,0.04,0.0393,True
UCEC,0.14,0.0801,True
UCEC,0.03,0.1007,False
UCS,0.05,0.0367,True
UVM,0.02,0.0749,True
ACC,0.08,0.0909,True
BLCA,0.13,0.0588,True
BLCA,0.26,0.1000,False
BRCA,0.15,0.0714,True
BRCA,0.12,0.0667,False
CESC,0.12,0.0588,True
CESC,0.33,0.0588,False
CHOL,0.11,0.0839,True
COAD,0.08,0.0670,True
COAD,0.02,0.1072,False
DLBC,0.1,0.0532,True
ESCA,0.36,0.0500,True
GBM,0.21,0.0519,True
HNSC,0.13,0.0646,True
HNSC,0.07,0.0955,False
KICH,0.09,0.0833,True
KICH,0.12,0.0526,False
KIRC,0.11,0.0714,True
KIRC,0.18,0.0769,False
KIRP,0.07,0.0606,True
KIRP,0.12,0.0748,False
LAML,0.04,0.0714,True
LGG,0.15,0.0667,True
LIHC,0.03,0.0833,True
LUAD,0.1,0.0691,True
LUAD,0.02,0.0588,False
LUSC,0.13,0.0606,True
LUSC,0.12,0.1000,False
MESO,0.14,0.0801,True
OV,0.29,0.0482,True
PAAD,0.09,0.0714,True
PCPG,0.11,0.0769,True
PRAD,0.12,0.0625,True
PRAD,0.1,0.0833,False
READ,0.05,0.0769,True
READ,0.3,0.0833,False
SARC,0.19,0.0526,True
SKCM,0.12,0.0541,True
SKCM,1.0,0.1000,False
STAD,0.29,0.0588,True
STAD,0.16,0.0513,False
TGCT,0.05,0.0370,True
THCA,0.11,0.0667,True
THCA,0.07,0.0500,False
THYM,0.08,0.0385,True
UCEC,0.09,0.0742,True
UCEC,0.06,0.0455,False
UCS,0.12,0.0556,True
UVM,0.09,0.0714,True
ACC,0.05,0.0769,True
BLCA,0.04,0.0556,True
BLCA,0.05,0.1818,False
BRCA,0.05,0.0625,True
BRCA,0.06,0.0556,False
CESC,0.04,0.0588,True
COAD,0.03,0.0625,True
COAD,0.05,0.0839,False
ESCA,0.16,0.0400,True
GBM,0.15,0.0455,True
HNSC,0.03,0.0526,True
KICH,0.02,0.0566,True
KICH,0.04,0.0833,False
KIRC,0.03,0.0625,True
KIRC,0.03,0.0871,False
KIRP,0.01,0.0667,True
KIRP,0.03,0.0526,False
LAML,0.01,0.1072,True
LGG,0.06,0.0588,True
LIHC,0.02,0.0909,True
LUAD,0.04,0.0591,True
LUSC,0.03,0.0556,True
LUSC,0.02,0.0395,False
MESO,0.03,0.0820,True
OV,0.12,0.0345,True
PAAD,0.04,0.0774,True
PCPG,0.03,0.0917,True
PRAD,0.04,0.0556,True
PRAD,0.06,0.0833,False
READ,0.02,0.0749,True
SARC,0.05,0.0556,True
SKCM,0.05,0.0526,True
STAD,0.14,0.0435,True
STAD,0.12,0.0571,False
TGCT,0.05,0.0417,True
THCA,0.05,0.0625,True
THYM,0.03,0.0362,True
UCEC,0.03,0.0625,True
UCEC,0.06,0.0778,False
UCS,0.04,0.0693,True
UVM,0.02,0.0769,True
ACC,0.06,0.0871,True
BLCA,0.07,0.0625,True
BLCA,0.05,0.0667,False
BRCA,0.12,0.0714,True
BRCA,0.07,0.0718,False
CESC,0.08,0.0572,True
CESC,0.33,0.1000,False
CHOL,0.08,0.0833,True
COAD,0.08,0.0833,True
COAD,0.02,0.0667,False
DLBC,0.12,0.0588,True
ESCA,0.25,0.0441,True
GBM,0.24,0.0541,True
HNSC,0.09,0.0588,True
HNSC,0.09,0.0718,False
KICH,0.05,0.1000,True
KICH,0.04,0.0635,False
KIRC,0.1,0.0769,True
KIRC,0.04,0.0778,False
KIRP,0.04,0.0667,True
KIRP,0.06,0.1000,False
LAML,0.06,0.0833,True
LGG,0.12,0.0667,True
LIHC,0.02,0.0833,True
LUAD,0.06,0.0667,True
LUAD,0.07,0.0588,False
LUSC,0.09,0.0625,True
LUSC,0.06,0.0714,False
MESO,0.1,0.0870,True
OV,0.18,0.0417,True
PAAD,0.06,0.0833,True
PAAD,0.25,0.1000,False
PCPG,0.06,0.0667,True
PRAD,0.12,0.0769,True
PRAD,0.1,0.0976,False
READ,0.09,0.0955,True
SARC,0.13,0.0646,True
SARC,0.5,0.1053,False
SKCM,0.11,0.0556,True
STAD,0.22,0.0500,True
STAD,0.25,0.0909,False
TGCT,0.08,0.0426,True
THCA,0.07,0.0691,True
THCA,0.07,0.0769,False
THYM,0.11,0.0691,True
UCEC,0.08,0.0714,True
UCEC,0.11,0.1538,False
UCS,0.09,0.0501,True
UVM,0.05,0.0691,True
ACC,0.01,0.1000,True
BLCA,0.03,0.0572,True
BLCA,0.05,0.1333,False
BRCA,0.06,0.0667,True
CESC,0.05,0.0526,True
COAD,0.01,0.0588,True
COAD,0.02,0.0667,False
DLBC,0.04,0.0513,True
ESCA,0.23,0.0460,True
ESCA,0.18,0.0370,False
GBM,0.19,0.0476,True
HNSC,0.04,0.0625,True
HNSC,0.02,0.0625,False
KICH,0.04,0.0526,False
KIRC,0.03,0.0625,True
KIRC,0.01,0.0833,False
KIRP,0.04,0.0833,True
KIRP,0.06,0.0976,False
LAML,0.01,0.0679,True
LGG,0.05,0.0645,True
LIHC,0.01,0.0833,True
LUAD,0.02,0.0667,True
LUAD,0.03,0.0763,False
LUSC,0.04,0.0625,True
LUSC,0.02,0.0476,False
MESO,0.05,0.0833,True
OV,0.22,0.0417,True
PAAD,0.04,0.0909,True
PAAD,0.25,0.1000,False
PCPG,0.03,0.0588,True
PRAD,0.05,0.0588,True
PRAD,0.02,0.0476,False
READ,0.04,0.0711,True
SARC,0.08,0.0667,True
SARC,0.5,0.1053,False
SKCM,0.04,0.0476,True
STAD,0.16,0.0462,True
STAD,0.06,0.0348,False
TGCT,0.02,0.0323,True
THCA,0.04,0.0769,True
THCA,0.02,0.0667,False
THYM,0.03,0.0455,True
UCEC,0.04,0.0742,True
UCEC,0.06,0.0800,False
UCS,0.05,0.0526,True
UVM,0.02,0.0680,True
ACC,0.03,0.0635,True
BLCA,0.04,0.0625,True
BLCA,0.16,0.0909,False
BRCA,0.06,0.0625,True
BRCA,0.03,0.0528,False
CESC,0.06,0.0625,True
CHOL,0.03,0.0833,True
COAD,0.04,0.0667,True
COAD,0.02,0.0667,False
ESCA,0.35,0.0488,True
ESCA,0.18,0.0270,False
GBM,0.24,0.0526,True
HNSC,0.04,0.0556,True
HNSC,0.02,0.0625,False
KICH,0.08,0.0680,False
KIRC,0.06,0.0742,True
KIRC,0.04,0.0742,False
KIRP,0.06,0.0714,True
KIRP,0.03,0.0667,False
LAML,0.01,0.0909,True
LGG,0.08,0.0667,True
LIHC,0.01,0.0909,True
LUAD,0.04,0.0714,True
LUAD,0.02,0.0750,False
LUSC,0.07,0.0606,True
LUSC,0.06,0.0606,False
MESO,0.09,0.0833,True
OV,0.35,0.0526,True
PAAD,0.06,0.0769,True
PAAD,0.25,0.2000,False
PCPG,0.04,0.0742,True
PCPG,0.33,0.1000,False
PRAD,0.09,0.0667,True
PRAD,0.13,0.0714,False
READ,0.07,0.0839,True
SARC,0.1,0.0667,True
SARC,0.5,0.1053,False
SKCM,0.08,0.0556,True
STAD,0.26,0.0526,True
STAD,0.12,0.0435,False
TGCT,0.07,0.0556,True
THCA,0.05,0.0667,True
THCA,0.03,0.0812,False
THYM,0.03,0.0445,True
UCEC,0.06,0.0714,True
UCEC,0.06,0.0556,False
UCS,0.05,0.0431,True
UVM,0.05,0.0774,True
BLCA,0.05,0.0526,True
BLCA,0.05,0.0714,False
BRCA,0.04,0.0476,True
BRCA,0.02,0.0435,False
CESC,0.06,0.0488,True
CHOL,0.06,0.0472,True
COAD,0.03,0.0588,True
DLBC,0.02,0.0318,True
ESCA,0.13,0.0364,True
GBM,0.07,0.0409,True
HNSC,0.04,0.0455,True
HNSC,0.02,0.0714,False
KICH,0.02,0.0769,True
KIRC,0.03,0.0476,True
KIRC,0.03,0.0435,False
KIRP,0.03,0.0588,True
KIRP,0.19,0.0667,False
LAML,0.01,0.0607,True
LGG,0.04,0.0513,True
LIHC,0.02,0.0769,True
LIHC,0.02,0.0909,False
LUAD,0.05,0.0588,True
LUAD,0.03,0.0663,False
LUSC,0.04,0.0445,True
LUSC,0.06,0.0526,False
MESO,0.07,0.0714,True
OV,0.09,0.0294,True
PAAD,0.06,0.0646,True
PCPG,0.04,0.0500,True
PRAD,0.05,0.0588,True
PRAD,0.04,0.0667,False
READ,0.03,0.0501,True
SARC,0.03,0.0426,True
SKCM,0.04,0.0426,True
STAD,0.1,0.0417,True
STAD,0.03,0.0390,False
TGCT,0.03,0.0312,True
THCA,0.06,0.0588,True
THCA,0.03,0.0500,False
THYM,0.02,0.0303,True
UCEC,0.05,0.0625,True
UCS,0.04,0.0322,True
UVM,0.02,0.0945,True
ACC,0.14,0.0784,True
BLCA,0.28,0.0714,True
BLCA,0.11,0.0750,False
BRCA,0.37,0.0741,True
BRCA,0.21,0.0556,False
CESC,0.26,0.0526,True
CESC,0.33,0.0667,False
CHOL,0.39,0.0667,True
CHOL,0.11,0.1429,False
COAD,0.19,0.0714,True
COAD,0.1,0.0769,False
DLBC,0.21,0.0513,True
ESCA,0.69,0.0893,True
ESCA,0.36,0.0600,False
GBM,0.57,0.0833,True
GBM,0.6,0.0770,False
HNSC,0.29,0.0667,True
HNSC,0.11,0.0591,False
KICH,0.11,0.0871,True
KICH,0.17,0.0667,False
KIRC,0.28,0.0714,True
KIRC,0.33,0.0852,False
KIRP,0.17,0.0833,True
KIRP,0.41,0.0742,False
LAML,0.13,0.0714,True
LGG,0.35,0.0667,True
LIHC,0.18,0.0909,True
LIHC,0.1,0.0769,False
LUAD,0.27,0.0750,True
LUAD,0.14,0.0667,False
LUSC,0.37,0.0690,True
LUSC,0.18,0.0488,False
MESO,0.37,0.0839,True
OV,0.69,0.0952,True
PAAD,0.19,0.0667,True
PAAD,0.75,0.1333,False
PCPG,0.33,0.1000,True
PCPG,0.67,0.1357,False
PRAD,0.24,0.0667,True
PRAD,0.27,0.0855,False
READ,0.18,0.0714,True
SARC,0.36,0.0755,True
SKCM,0.29,0.0612,True
SKCM,1.0,0.0588,False
STAD,0.57,0.0918,True
STAD,0.41,0.0702,False
TGCT,0.26,0.0431,True
THCA,0.29,0.0714,True
THCA,0.07,0.0417,False
THYM,0.29,0.0500,True
UCEC,0.3,0.0870,True
UCEC,0.14,0.0714,False
UCS,0.5,0.0909,True
UVM,0.15,0.0714,True
ACC,0.03,0.0667,True
BLCA,0.02,0.0526,True
BRCA,0.02,0.0435,True
CESC,0.01,0.0436,True
COAD,0.01,0.0634,True
COAD,0.02,0.1000,False
DLBC,0.02,0.1538,True
ESCA,0.02,0.0241,True
GBM,0.02,0.0378,True
GBM,0.2,0.0556,False
HNSC,0.02,0.0588,True
HNSC,0.02,0.0833,False
KICH,0.04,0.1176,False
KIRC,0.02,0.0526,True
KIRC,0.01,0.0303,False
KIRP,0.02,0.0500,True
LAML,0.01,0.0544,True
LGG,0.02,0.0501,True
LIHC,0.01,0.0718,True
LUAD,0.02,0.0526,True
LUAD,0.02,0.0526,False
LUSC,0.01,0.0385,True
LUSC,0.02,0.0359,False
MESO,0.01,0.0435,True
OV,0.03,0.0227,True
PAAD,0.02,0.0557,True
PCPG,0.03,0.1000,True
PRAD,0.02,0.0556,True
PRAD,0.04,0.0667,False
READ,0.01,0.1000,True
SARC,0.01,0.0455,True
SKCM,0.01,0.0447,True
STAD,0.02,0.0286,True
THCA,0.03,0.0625,True
THYM,0.01,0.0250,True
UCEC,0.02,0.0500,True
UCS,0.04,0.0455,True
UVM,0.01,0.0498,True
ACC,0.01,0.0509,True
BLCA,0.01,0.0333,True
BRCA,0.03,0.0417,True
CESC,0.02,0.0400,True
COAD,0.03,0.0556,True
ESCA,0.02,0.0241,True
GBM,0.01,0.0357,True
GBM,0.2,0.0433,False
HNSC,0.01,0.0345,True
HNSC,0.02,0.0488,False
KICH,0.04,0.0588,False
KIRC,0.03,0.0435,True
KIRP,0.0,0.0400,True
LAML,0.01,0.0833,True
LGG,0.02,0.0365,True
LIHC,0.02,0.0667,True
LIHC,0.04,0.0794,False
LUAD,0.02,0.0417,True
LUSC,0.02,0.0385,True
LUSC,0.02,0.0378,False
MESO,0.06,0.0556,True
OV,0.05,0.0286,True
PAAD,0.01,0.0417,True
PCPG,0.02,0.0476,True
PRAD,0.01,0.0400,True
READ,0.03,0.0556,True
SARC,0.02,0.0303,True
SKCM,0.01,0.0312,True
STAD,0.02,0.0328,True
THCA,0.01,0.0378,True
THYM,0.01,0.0331,True
UCEC,0.03,0.0513,True
ACC,0.39,0.1111,True
BLCA,0.67,0.1042,True
BLCA,0.53,0.0588,False
BRCA,0.73,0.1071,True
BRCA,0.59,0.0800,False
CESC,0.71,0.0952,True
CESC,0.67,0.1026,False
CHOL,0.53,0.0895,True
CHOL,0.33,0.1000,False
COAD,0.56,0.0909,True
COAD,0.44,0.0909,False
DLBC,0.65,0.0976,True
ESCA,0.9,0.1429,True
ESCA,0.73,0.0625,False
GBM,0.74,0.1304,True
GBM,0.8,0.1351,False
HNSC,0.75,0.1053,True
